service_at_location_id,organization_id,service_id,location_id,organization_name,service_name,location_name,organization_description,service_description,address_street,city,county,state,postal_code,latitude,longitude,taxonomy_codes,taxonomy_terms,data_owner,status,application_process
211onedegr-15477_211onedegr-15808,211onedegr-2156,211onedegr-15477,211onedegr-15808,Lutheran Social Services - San Diego,Get Homeless Support Services,Lutheran Social Services - San Diego,Lutheran Social Services - San Diego offers emergency services and social services to individuals and families.,"Lutheran Social Services - San Diego offers short-term emergency assistance, addressing the immediate needs of the vulnerable and disadvantaged, but also promoting a sense of self-reliance and community among all persons.",4425 Bannock Ave.,San Diego,,CA,94227,32.83263,-117.1967,BM-6500.6500-710,Public Showers/Baths,211onedegree,,Email for more information.
211orangec-95356981,211orangec-95356965,211orangec-95356979,211orangec-95356974,Care Choice Health Systems Inc,Enhanced Care Management,Main Office,,"Provides Enhanced Care Management (ECM) and Community Supports to high-need Kaiser Medi-Cal members in San Diego, Riverside, and Orange Counties. Services include:In-home personal careCaregiver respiteHousing navigationTransitions from institutional care to home or assisted living.Targets adults experiencing homelessness, individuals at risk of long-term care placement, and nursing facility residents transitioning to the community, with a focus on addressing health-related social needs through coordinated, whole-person care.",1151 South Santa Fe Avenue,Vista,Orange,CA,92803,33.18852,-117.2264,PH-1000,Case/Care Management,211orangecounty,,Walk-in; Appointments accepted
211orangec-95356978,211orangec-95356965,211orangec-95356977,211orangec-95356974,Care Choice Health Systems Inc,Non-Medical Homecare,Main Office,,"Provides non-medical home care services to high-need Kaiser Medi-Cal members in San Diego, Riverside, and Orange Counties. Services include:In-home personal careCaregiver respiteHousing navigationTransitions from institutional care to home or assisted living.Targets adults experiencing homelessness, individuals at risk of long-term care placement, and nursing facility residents transitioning to the community, with a focus on addressing health-related social needs through coordinated, whole-person care.",1151 South Santa Fe Avenue,Vista,Orange,CA,92803,33.18852,-117.2264,"BH-3900.3100, PH-1000","Housing Search Assistance, Case/Care Management",211orangecounty,,Walk-in; Appointments accepted
211onedegr-8465_211onedegr-24719,211onedegr-2369,211onedegr-8465,211onedegr-24719,The Salvation Army Of Southern California,Get Free Rehab Services For Alcohol And Drug Use,San Diego Adult Rehabilitation Center,"The Salvation Army of Southern California provides services to those in need from San Luis Obispo to Orange County at 40 separate sites. Its services include: drug and alcohol rehabilitation, disaster services, health services, homelessness support services, senior services, veteran services, and youth services.","The Salvation Army has Adult Rehabilitation Centers (ARC) throughout Southern California: Anaheim, Canoga Park, Long Beach, Pasadena, Santa Monica, San Bernardino, San Diego, and Perris. The ARC's provide long term, residential recovery programs for individuals seeking to deal with substance abuse and other addiction. Each participant is provided with a clean and healthy living environment, nutritious food, group and individual counseling, spiritual direction, work therapy assignments, and recreational activities.",1335 Broadway,San Diego,,CA,92101,32.71494,-117.1523,RX-8450.8000-180,Drug Use Disorder Counseling,211onedegree,,Visit the link to find your nearest service location and contact information.
211sonoma-96120974,211sonoma-96120648,211sonoma-96120855,211sonoma-96120733,Partnership Health Plan Of California,Calaim Enhanced Care Management - Serene Health Ipa,Serene Health Ipa - Ecm,,"<p>Provides Enhanced Care Management, which is comprehensive care management from a single lead care manager who coordinates all health and health-related care, including physical, mental, and dental care, and social services.</p><p><strong>Serves the Following Adult Populations of Focus:</strong></p><ul><li>At Risk for Avoidable Hospitalization or ED use, </li><li>Birth Equity, </li><li>Experiencing Homelessness, </li><li>Living in the Community and at Risk for LTC Institutionalization, </li><li>Nursing Facility Residents Transitioning to the Community, </li><li>Serious Mental Health and or SUD Needs, </li><li>Transitioning From Incarceration<br /><ul><li>Provider enrolled as Medi-Cal Fee-for-Service (FFS): Yes</li><li>Pre-release Warm Handoff: No</li></ul></li></ul><p><strong>Serves the following Youth Population of Focus:</strong></p><ul><li>At Risk for Avoidable Hospitalization or ED use, </li><li>Birth Equity, </li><li>Enrolled in California Children's Services (CCS) or CCS WCM with additional needs beyond the CCS condition, </li><li>Experiencing Homelessness-Homeless Families Or Unaccompanied Children and Youth, </li><li>Involved in Child Welfare, </li><li>Serious Mental Health and or SUD Needs (includes children with high ACEs scores), </li><li>Transitioning From Incarceration</li></ul>","9265 Sky Park Court, Suite 100",San Diego,San Diego,CA,92123,32.81445,-117.1272,PH-1000,Case/Care Management,211sonoma,,Call for services
211minneap-36931737,211minneap-36845935,211minneap-36877220,211minneap-36860296,Identity Theft Resource Center,Victim/Consumer Direct Assistance,Main Site,"<p>A non-profit organization that empowers and guides consumers, victims, businesses, and the government to minimize risk and mitigate the impact of identity theft. Provides free recovery services to victims of identity theft, data breaches, scams/fraud, and guides protecting personal information.</p><p><br /></p>","<p>Provides free help to anyone who identifies as a victim of identity theft, those needing prevention resources, or is a victim of a data breach or scam. Advisors will walk all victims through what steps they need to take.</p><p>Victims of other crimes (burglary, trafficking, domestic/intimate partner violence) or other individuals whose credentials cannot be safely secured (homeless, foster youth, incarcerated/formerly incarcerated, etc.) may be at greater risk for identity theft and may want to talk to an Advisor about their identity-related concerns.</p>","2514 Jamacha Road, Suite 502-525",El Cajon,San Diego,CA,92019,32.7459,-116.9303,"FN-1500.2570, FN-1700.3200","Identity Theft Prevention, Identity Theft Reporting/Recovery Programs",211minneapolis,,Call; email; live chat; text; visit website 
211onedegr-12702_211onedegr-16680,211onedegr-3569,211onedegr-12702,211onedegr-16680,Children'S Home Society Of California ,Get Funding For Child Care,Children'S Home Society - San Diego,Children’s Home Society of California helps parents find and pay for child care.,"The Child Care Payment Program (CCPP) provides subsidized child care services to eligible families through general Alternative Payment and CalWORKs funding. Through these programs, participating families select the licensed or license-exempt child care provider of their choice, as parents work, seek employment or attend school or job training programs.","2650 Camino Del Rio Northiego, Suite 104",San Diego,,CA,92108,32.77314,-117.1352,PH-2400.1500,Child Care Provider Referrals,211onedegree,,
211onedegr-12700_211onedegr-16680,211onedegr-3569,211onedegr-12700,211onedegr-16680,Children'S Home Society Of California ,Get Free Help In Finding Child Care ,Children'S Home Society - San Diego,Children’s Home Society of California helps parents find and pay for child care.,The Child Care Resource and Referral (R&R) Program provides parents with the information to find a child care provider.,"2650 Camino Del Rio Northiego, Suite 104",San Diego,,CA,92108,32.77314,-117.1352,PH-2400.1500,Child Care Provider Referrals,211onedegree,,
211onedegr-20892_211onedegr-15808,211onedegr-2156,211onedegr-20892,211onedegr-15808,Lutheran Social Services - San Diego,Get Home Repairs For Seniors Or Individuals With Disabilities,Lutheran Social Services - San Diego,Lutheran Social Services - San Diego offers emergency services and social services to individuals and families.,The Caring Neighbors program provides minor home care and repair for seniors or persons with disabilities.,4425 Bannock Ave.,San Diego,,CA,94227,32.83263,-117.1967,PH-3300.2750,Home Maintenance and Minor Repair Services,211onedegree,,Call Suzanne Stephens to request services.
211onedegr-1962_211onedegr-14066,211onedegr-370,211onedegr-1962,211onedegr-14066,Money Management International,Get Help For First Time Homebuyers,San Diego Branch,"Money Management International provides financial counseling and advice including how to save money, creating a budget, repaying loans, and avoiding foreclosures.","Money Management International offers a variety of homebuyer counseling options including counseling required as part of the closing process. MMI also offers free homebuyer counseling to first time homebuyers or anyone looking to purchase a home and interested in understanding more about the home buying process. This counseling includes a complete financial review, including each buyers potential ability to support a mortgage, as well as an overview of the costs and considerations that come with owning a home.","3111 Camino Del Rio North, #400",San Diego,,CA,92108,32.77472,-117.1273,BH-3500.3400-250,First Time Buyer Home Loans,211onedegree,,"Call for counseling, or to make an appointment."
inlandempi-79605086,inlandempi-73502215,inlandempi-73502440,inlandempi-73902670,Zero8hundred,Military Transition Support,Zero8hundred,Nonprofit organization serves service members transitioning from military to civilian life,Offers service members one on one resource navigation and support up to 18 months  prior to completing military service (separation) and up to 3 years post-service.,"4699 Murphy Canyon Road, Suite 104",San Diego,San Diego,CA,92123,32.82715,-117.119,"TM-5100, TM-5200","Military Family Service/Support Centers, Military Transition Assistance Programs",inlandempireunitedway,,Enrollment is available online. Call for more information.
211tallaha-1296-1199,211tallaha-687,211tallaha-1296,211tallaha-1199,Semper Fi & America'S Fund,Semper Fi & America'S Fund,Semper Fi & America'S Fund - Online And Phone Only,"*Provides immediate financial assistance to wounded, critically ill and injured members of all branches of service and their families
*Connects wounded, critically ill and injured service members and their families to community resources
*Provides education and career transition assistance
*Service member and Family Support Program that addresses unique needs in order to improve the lives of wounded veterans
*Connects injured service members and families to resources that provide adaptive housing, adaptive transportation, and specialized equipment
*Veteran 2 Veteran (V2V) Mentorship Program
*Recreational sports provided to encourage injured service members to remain as active as possible
*Business Office is on Camp Pendleton","*Provides immediate financial assistance to wounded, critically ill and injured members of all branches of service and their families
*Connects wounded, critically ill and injured service members and their families to community resources
*Provides education and career transition assistance
*Service member and Family Support Program that addresses unique needs in order to improve the lives of wounded veterans
*Connects injured service members and families to resources that provide adaptive housing, adaptive transportation, and specialized equipment
*Veteran 2 Veteran (V2V) Mentorship Program
*Recreational sports provided to encourage injured service members to remain as active as possible
*Business Office is on Camp Pendleton",Po Box 555193,Camp Pendleton,San Diego,CA,92055,33.368266,-117.4139,"FT-1000.9000, PH-1400.5000, LH-0600.1700, LH-0600.5000, PL-7000","Veteran Benefits Assistance, Mentoring Programs, Daily Living Aids, Mobility Aids, Recreational Activities/Sports",211tallahassee,,Call for information
211onedegr-20039_211onedegr-16180,211onedegr-5464,211onedegr-20039,211onedegr-16180,The San Diego Lgbt Community Center,Get Behavioral Health Services For The Lgbt Community,"Centre Street - Hillcrest (MAIN CENTER, BEHAVIORAL HEALTH)","The San Diego LGBT Community Center provides health and well-being services for the lesbian, gay, bisexual, transgender, and HIV communities.","The Behavioral Health Services program offers free counseling services for same-sex/genderqueer relationship violence; transgender and non-binary persons who need assistance with transition or exploring their gender identity; and for individuals, couples & families living with HIV/AIDS.",3909 Centre Street,San Diego,,CA ,92103,32.74892,-117.1477,RP-1400.2500,General Counseling Services,211onedegree,,Email to enroll in services.
211onedegr-20030_211onedegr-22482,211onedegr-5591,211onedegr-20030,211onedegr-22482,Task,Get Assistance With Special Education For Children With Disabilities,San Diego & Imperial Counties,"TASK helps families in Southern California navigate special education, disability services, and assistive technology.",TASK helps families of children with disabilities learn about what to do for their children including each child's right to education without discrimination. TASK offers free telephone support and assistance with special education and the IEP process plus workshops on special education and transition planning. It also offers free IEP consultations and document review.,"3845 Spring Dr., Room 21",Spring Valley,,CA,91977,32.74904,-117.0027,HH-8000.6500,Public Special Schools,211onedegree,,Call to request assistance.
211akron-290072,211akron-SUMM106608,211akron-68618,211akron-106609,Semper Fi Fund,Service Member And Family Financial Support,Semper Fi Fund,"Provides immediate financial assistance and lifetime support to combat wounded, critically ill, and injured members of all branches of the U.S. Armed Forces and their families. Delivers resources to active service members in need during recovery and transition back to their communities.","Provides financial assistance for combat wounded, critically ill, and injured service members and their families during hospitalization and recovery.

Assistance includes: 
- Bedside Financial Support: offers needs-based financial assistance for expenses that are most pressing during a long hospitalization or rehabilitation. Covers expenses such as additional travel/lodging expenses, childcare, and out of pocket expenses.
- Housing Assistance: provides adaptive housing for wheelchairs and helps those who have fallen behind on housing payments due to injury.
- Transportation Assistance: offers adaptive modes of transportation including modified wheelchairs, lift ramps, vehicles, and snow removal equipment.","825 College Boulevard, Suite 102, Pmb 609",Oceanside,San Diego,CA,92057,33.24046,-117.294,"LH-0600.0100, BH-3800.7000, NT-8900, BH-3800.5000, LH-5100.5000, BH-3000.3550-350, LH-0600.5000-850, BT-8300","Automobile/Van Adaptations, Rent Payment Assistance, Undesignated Temporary Financial Assistance, Mortgage Payment Assistance, Medical Care Expense Assistance, Home Rehabilitation Grants, Transfer Devices, Transportation Expense Assistance",211akron,,Visit the website to complete an assistance request form. Each request is reviewed on a case-by-case basis. Case managers will respond within 24 to 48 hours. Call the office for more information.
211akron-279137,211akron-SUMM106608,211akron-68619,211akron-106609,Semper Fi Fund,Caregiver Support And Retreats,Semper Fi Fund,"Provides immediate financial assistance and lifetime support to combat wounded, critically ill, and injured members of all branches of the U.S. Armed Forces and their families. Delivers resources to active service members in need during recovery and transition back to their communities.","Hosts events to suit caregivers' busy schedules such as local neighborhood get together events, caregiver days, and weekend long caregiver retreats. Offers activities, education, support tools, and resource connections to help caregivers.","825 College Boulevard, Suite 102, Pmb 609",Oceanside,San Diego,CA,92057,33.24046,-117.294,PN-8100.4500-120,Caregiver/Care Receiver Support Groups,211akron,,Visit the website to complete an assistance request form. Each request is reviewed on a case-by-case basis. Case managers will respond within 24 to 48 hours. Call the office for more information.
211onedegr-8634_211onedegr-10894,211onedegr-1082,211onedegr-8634,211onedegr-10894,Immigration Center For Women And Children (ICWC),Get Low-Cost Legal Help For Immigrant Survivors Of Domestic Violence,Icwc San Diego Office,"Immigration Center for Women and Children (ICWC) provides legal services to immigrants in California and Nevada on a sliding scale fee system. It assists children who are abused, abandoned, or neglected, and immigrants who are survivors of domestic violence, sexual assault, and other violent crimes.","ICWC assists survivors of domestic violence, specifically abused noncitizens who are married to or a child of an abusive U.S. citizen or permanent resident, to petition for their immigration status through the Violence Against Women Act (VAWA).","427 C Street, Suite 208",San Diego,,CA,92101,32.7165,-117.1605,FT-3600,Immigration/Naturalization Legal Services,211onedegree,,Email for more information.
211onedegr-8632_211onedegr-10894,211onedegr-1082,211onedegr-8632,211onedegr-10894,Immigration Center For Women And Children (ICWC),Get Low-Cost Legal Services For Undocumented Children,Icwc San Diego Office,"Immigration Center for Women and Children (ICWC) provides legal services to immigrants in California and Nevada on a sliding scale fee system. It assists children who are abused, abandoned, or neglected, and immigrants who are survivors of domestic violence, sexual assault, and other violent crimes.","ICWC helps undocumented children who have been abused, abandoned, or neglected become lawful permanent residents through the Special Immigrant Juvenile Status (SIJS) program.","427 C Street, Suite 208",San Diego,,CA,92101,32.7165,-117.1605,FT-3600,Immigration/Naturalization Legal Services,211onedegree,,
211columbi-sal_4a899de0b5d8bc8e4757_gqndl0,211columbi-org_4a899de0b5d8bc8e4757_bm1wak,211columbi-s_4a899de0b5d8bc8e4757_xzn2yu,211columbi-loc_4a899de0b5d8bc8e4757_sych9t,Transfamily Support Services,Transfamily Support Services,Main,"Agency provides:<ul><li>advocacy</li><li>human rights groups</li><li>public awareness/education</li><li>online support groups for parents of transgender children</li><li>online support groups for transgender youths and adults</li><li>specialized information and referral</li></ul><br>Agency promotes the health and well-being of transgender persons, their families, and friends.","Agency provides:<ul><li>advocacy</li><li>human rights groups</li><li>public awareness/education</li><li>online support groups for parents of transgender children</li><li>online support groups for transgender youths and adults</li><li>specialized information and referral</li></ul><br>Agency promotes the health and well-being of transgender persons, their families, and friends.","12463 Rancho Bernardo Road, Suite 218",San Diego,San Diego,CA,92128,33.018,-117.062,"TJ-6500, PN-8100.6500, PN-8100.4500-400, FP-0500, TJ-3000.8000","Public Awareness/Education, Parenting/Family Support Groups, LGBTQ2+ Support Groups, Advocacy, Specialized Information and Referral",211columbia,,Call or register for support groups on website.
211sofcali-55485705,211sofcali-43330208,211sofcali-43330210,211sofcali-55485703,National Multiple Sclerosis Society,Multiple Sclerosis Support Groups,Northern California Office,"A nonprofit organization providing Multiple Sclerosis resources, support, and treatment information.","<p>Provides support groups and online meetings for people affected by Multiple Sclerosis.</p><p>More information:</p><p><a class=""e-rte-anchor"" href=""https://www.nationalmssociety.org/resources/get-support/find-support-groups-and-programs"" title=""https://www.nationalmssociety.org/resources/get-support/find-support-groups-and-programs"" target=""_blank"">Find Support Groups and Connection Programs, here</a></p>","9915 Mira Mesa Boulevard, Suite 325",San Diego,San Diego,CA,92131,32.91536,-117.1136,PN-8100.3000,Health/Disability Related Support Groups,211sofcalifornia,,Call or visit website
inlandempi-87984024,inlandempi-73503234,inlandempi-73503475,inlandempi-74943500,Transgender Health And Wellness Center,Support Groups,Transgender Health And Wellness Center - San Diego,Transgender support organization,"Provides virtual support groups for friends, families, allies, and trans people.","3737 Moraga Avenue, Suite A204",San Diego,San Diego,CA,92117,32.80926,-117.2106,PN-8100.4500-400,LGBTQ2+ Support Groups,inlandempireunitedway,,Call or visit website for more information
211orangec-79650876,211orangec-55734560,211orangec-55734730,211orangec-79650874,Semper Fi & America'S Fund,Service Member And Family Support,Main Office,Non-profit organization that provides financial assistance and support to post 9/11 injured service people with or without children.,"Provides financial assistance and lifetime support to post 9/11 combat wounded, critically ill, catastrophically injured service members and their families.","825 College Boulevard, Suite 102, Pmb 609",Oceanside,San Diego,CA,92057,33.24046,-117.294,PN-8100.4500-850,Veteran Support Groups,211orangecounty,,Online or Call for detailed information
211siouxfa-79787122,211siouxfa-79774790,211siouxfa-79782933,211siouxfa-79777138,Psycharmor,Coaching And Educational Support Center,San Diego Site,"Provides education and support to non-military Americans who work with, live with, and care for Veterans.","<p>The clinical team at PsychArmor supports individuals by: </p><ul>	<li style=""font-family: Arial, Helvetica, sans-serif; font-size: 10pt;"">offering a listening ear and informed guidance</li>	<li style=""font-family: Arial, Helvetica, sans-serif; font-size: 10pt;"">selecting relevant and applicable courses </li>	<li style=""font-family: Arial, Helvetica, sans-serif; font-size: 10pt;"">providing local and national resources for additional support services. </li>	<li style=""font-family: Arial, Helvetica, sans-serif; font-size: 10pt;"">providing assistance to individuals working with or caring for Veterans</li></ul>",,San Diego,San Diego,CA,92121,32.89396,-117.1993,"TJ-3000.8000, PH-0800, PN-8100.4500-120, TO-6000","Specialized Information and Referral, Caregiver Training, Caregiver/Care Receiver Support Groups, Organizational Consultation/Technical Assistance",211siouxfalls,,"Call, chat, or email for assistance."
211orangec-72453173,211orangec-8629341,211orangec-8633966,211orangec-72453151,American Lung Association In California - Orange County,Information And Support,Corporate Office,"Non-profit organization that provides services to improve individuals lung health, prevent lung disease, defeat lung cancer, improve air quality, reduce the burden of lung disease, and eliminate tobacco use.","Provides individuals with chronic lung conditions (Chronic obstructive pulmonary disease [COPD], emphysema, asthma, chronic bronchitis, lung cancer) education and support. Information and support groups are presented online, via telephone, or through local hospitals and other venues.",2020 Camino Del Rio North Suite 200,San Diego,San Diego,CA,92108,32.77044,-117.1432,"LH-2700.1700, PN-8100.3000","Disease/Disability Information, Health/Disability Related Support Groups",211orangecounty,,"Telephone, Website"
211omaha-91577544,211omaha-91543062,211omaha-91577540,211omaha-91577538,Blue Star Families,Military Family Neighborhood Support Program,Blue Star Families,"<p>Committed to strengthening military families by connecting them with their neighbors, both individuals and organizations, to create vibrant communities of mutual support.<br /></p>","<p>Committed to strengthening military families by connecting them with their neighbors, both individuals and organizations, to create vibrant communities of mutual support.<br /></p>",441 Saxony The Hive/barn 2,Encinitas,San Diego,CA,92024,33.05428,-117.2673,"PH-5800, PN-8100.4500-550","Neighborhood Welcoming Services, Military Family Support Groups",211omaha,,Visit website or call for more information
211sacrame-80678135,211sacrame-80677968,211sacrame-80678042,211sacrame-80678130,End Of Life Choices California,Information & Personal Support - End Of Life Choices California,End Of Life Choices California,"Provides information, education, and personal support to Californians facing end-of-life decisions.","Provides information, education, and personal support to Californians facing end-of-life decisions.Services include:Education and Information: Offers comprehensive guidance on end-of-life options.Personal Support: Provides free, one-on-one support to individuals and families. This includes explaining end-of-life options, assisting with navigating the dying process, advocating for clients' wishes, facilitating family discussions, and offering bedside support during a planned deathMedical Aid in Dying (MAiD) Guidance: Specializes in supporting individuals pursuing MAiD under the California End of Life Option Act (EOLOA), which allows terminally ill adults with a prognosis of six months or less to request aid-in-dying medication.Community Advocacy and Awareness: Works to normalize conversations about death and dying, fostering a community where end-of-life choices are respected.Request Support from a Volunteer",No Physical Address.,,,,,32.99165,-117.27304,RP-1400.8000-850,Terminal Illness Counseling,211sacramento,,Telephone or submit a request support form online. https://endoflifechoicesca.org/request-support/ 
211orangec-47764467,211orangec-27347203,211orangec-27347219,211orangec-27347215,Foundation For Women Warriors,Veteran Services,Main Office,Non-profit organization that offers financial assistance to female veterans.,"Offers financial assistance to female veterans. Short-term rental assistance, payment of utility bills, utility deposit, childcare financial assistance, emergency car repair and household items (cleaning supplies, clothing, diapers, hygiene items) may be provided.",,Vista,San Diego,CA,92081,33.1707,-117.2425,"BV-8900.9300-180, BH-3800.7000, BM-3000.0500-250, BV-8900.9150, NL-3000.1500, BV-8900.9300-250","Electric Service Payment Assistance, Rent Payment Assistance, General Appliance Provision, Utility Deposit Assistance, Child Care Expense Assistance, Gas Service Payment Assistance",211orangecounty,,Apply online
211onedegr-18940_211onedegr-4132,211onedegr-1756,211onedegr-18940,211onedegr-4132,California Department Of Industrial Relations,Apply For Return-To-Work Supplement Income ,San Diego Labor Commissioner'S Office,"California Department of Industrial Relations protects and improves the health, safety, and economic well-being of California wage earners and helps their employers comply with state labor laws.","Employees injured on or after January 1, 2013, who have received a supplemental job displacement benefit voucher (SJDB), may also qualify for an additional one-time $5,000 payment.  The Return-to-Work Supplement Program (RTWSP) will mail approved applicants a $5,000 check that can be used to supplement the earnings lost from being injured.","7575 Metropolitan Dr., Room 210",San Diego,,CA,92108,32.77684,-117.1567,NS-9000.9000,State Unemployment Insurance,211onedegree,,Please call for more information.
211sofcali-75476463,211sofcali-75476444,211sofcali-75476456,211sofcali-75476455,Tootris,Child Care On-Demand Services,Online Resource,"Offers service that connects parents with quality, affordable child care programs.","Offers a free service that locates quality, affordable child care for parents. Uses parent location, language, and budget to find care for their children. Provides help and guidance to those with a passion for child care so that they can start their own Child Care. Supports participants with state licensing assistance and investing in program centers.",Online Resource,,,CA,,32.89396,-117.19927,"PH-2400.1500, JR-8200.1500-150","Child Care Provider Referrals, Child Care Provider Training",211sofcalifornia,,Visit the website or call to apply
211onedegr-10299_211onedegr-18851,211onedegr-2857,211onedegr-10299,211onedegr-18851,Vista Community Clinic (VCC),Get Dental Services,Vcc: North River,"Vista Community Clinic (VCC) provides affordable health care services for families and individuals in Vista, Oceanside, La Habra, and Lake Elsinore.","VCC offers dental services including cleanings, exams, emergency care, extractions, fillings, protective sealants, referrals, restorative care, x-rays, and stainless steel crowns for children.",4700 North River Road,Oceanside,,CA,92057,33.24559,-117.3092,LV-1600,Dental Care,211onedegree,,Call to make an appointment.
211onedegr-10299_211onedegr-18854,211onedegr-2857,211onedegr-10299,211onedegr-18854,Vista Community Clinic (VCC),Get Dental Services,Vcc: Vale Terrace,"Vista Community Clinic (VCC) provides affordable health care services for families and individuals in Vista, Oceanside, La Habra, and Lake Elsinore.","VCC offers dental services including cleanings, exams, emergency care, extractions, fillings, protective sealants, referrals, restorative care, x-rays, and stainless steel crowns for children.",1000 Vale Terrace Drive,Vista,,CA,92084,33.20966,-117.2288,LV-1600,Dental Care,211onedegree,,Call to make an appointment.
211onedegr-998_211onedegr-14558,211onedegr-19,211onedegr-998,211onedegr-14558,Healthright 360,Get Individual Or Group Therapy For Mental Health Issues,North County Serenity House,"HealthRIGHT 360 provides primary medical care, mental health services, substance use disorder treatment, social support and re-entry services, dental, and more.","HealthRIGHT 360 offers a continuum of mental health services and integrated treatment for clients with co-occurring substance use disorder and mental health problems. Services include individual and group therapy, skills training, and crisis intervention. Therapists provide interventions and support to assist clients to reduce symptoms, better cope with life stressors, fulfill their role obligations, and achieve long-term recovery.",1341 N. Escondido Blvd.,Escondido,,CA,92026,33.14026,-117.0928,RP-1400.2500,General Counseling Services,211onedegree,,Call to speak to someone about receiving treatment in Los Angeles.
211boise-9173-4307,211boise-549,211boise-9173,211boise-4307,Network Interpreting Service,Sign Language Interpretation,Network Interpreting Services (NIS),"Established in San Diego in 1988, Network Interpreting Service is one of the earliest private sign language interpreting referral agencies in the United States.","Network Interpreting Service coordinates and supplies American Sign Language interpreting services for medical, government, legal, educational, business, convention, and personal settings.   Focused in the areas of California, Idaho, northern Nevada, northern Arizona and Colorado Springs utilizing both staff and freelance interpreters. Staffing is gradually extending to other cities and states. If you are an interpreter seeking employment, please contact us by email,or fill out the online freelance registration form, or staff interpreter application.",4201 Mt Voss Dr,San Diego,,CA,92117,32.816912,-117.1333,PH-3500.8000,Sign Language Interpretation,211boise,,"Call or online
"
211manches-41322,211manches-9461,211manches-11144,211manches-9462,Identity Theft Resource Center,"Victim Assistance For Identity Compromise And Misuse, Scams, And Fraud",Identity Theft Resource Center,"The non-profit victim contact center provides toll-free, no-cost guidance and information to victims of identity compromise and misuse, scams or fraud. Services are provided to people in New Hampshire.","The ITRC provides free help to anyone who wants to identify if they are a victim of identity theft, protect their personal information and/or prevent themselves from becoming a victim of an identity crime, or recover from identity misuse. 

The ITRC’s Victim Advisors will walk all victims through what steps they need to take and are happy to serve as a resource for as long as they are needed. The ITRC does not collect sensitive personal information, only basic contact information and demographic information, if the individual is willing to share. Individuals may want to know how to protect their information if their purse/wallet/phone/tablet/ laptop/documents were stolen or if they were a victim of a data breach. 

The ITRC can help if a US-based account was opened in an individual’s name, or one of their accounts has been taken over. Accounts include but are not limited to social media accounts (Facebook, Instagram, etc.), government accounts (IRS, SSA, etc.), financial accounts (bank, credit card, etc.), and utility accounts (cable, electricity, phone, etc.)","2514 Jamacha Rd, Ste 502-525",El Cajon,San Diego,CA,92019-6313,32.7459,-116.9303,"TJ-1800.3300, FN-1700.3200, FN-1500.2570","Internet Information Resources, Identity Theft Reporting/Recovery Programs, Identity Theft Prevention",211manchester,,"Call, visit the website to use live chat or Email itrc@idtheftcenter.org"
211colorad-a0h4T000002u0eAQAQ,211colorad-0014T000004o6oOQAQ,211colorad-a0E4T000000NkLQUA0,211colorad-a014T000003R9nJQAS,Identity Theft Resource Center,Id Theft Prevention,,<p>Works to minimize risk and mitigate the impact of identity theft.</p>,"<p>Provides free assistance to individuals who want to:</p><ul><li>Identify if they are victims of identity theft</li><li>Protect their personal information and prevent identity crimes</li><li>Recover from identity misuse</li></ul><p>Victim Advisors guide individuals through necessary steps and serve as an ongoing resource. The ITRC does not collect sensitive personal information, only basic contact and demographic details if voluntarily provided.</p><p>Assistance is available for individuals experiencing:</p><ul><li>Stolen personal items, including:<ul><li>Purse</li><li>Wallet</li><li>Phone</li><li>Tablet</li><li>Laptop</li><li>Documents</li></ul></li><li>Data breaches</li><li>Unauthorized accounts opened in their name</li><li>Account takeovers, including:<ul><li>Social media accounts (Facebook, Instagram)</li><li>Government accounts (IRS, SSA)</li><li>Financial accounts (bank, credit card)</li><li>Utility accounts</li></ul></li></ul>",No Physical Address,,Out Of State,,,32.745,-116.93,"FN-1700.3200, FN-1500.2570","Identity Theft Reporting/Recovery Programs, Identity Theft Prevention",211colorado,,"Call, visit the website to live chat, or email for assistance."
211onedegr-12066_211onedegr-12016,211onedegr-3323,211onedegr-12066,211onedegr-12016,National Multiple Sclerosis Society,Get Financial Assistance For Individuals With Multiple Sclerosis,Pacific South Coast,The National Multiple Sclerosis Society offers programs and services to individuals with Multiple Sclerosis and their families.,"National Multiple Sclerosis Society offers financial assistance for medical, electric, water or gas bills to people with MS.","10089 Willow Creek Road, Suite 250",San Diego,,CA,92131,32.90091,-117.1096,PH-1000,Case/Care Management,211onedegree,,Call an MS Navigator at the toll-free number or your local chapter for more information.
inlandempi-40202876,inlandempi-7422568,inlandempi-7425803,inlandempi-7424874,United States Environmental Protection,Radon Program,United States Environmental Protection,Protects Americans from significant risks to human health and the environment,"Line for information on testing, treatment, and standards for radon drinking water.","880 Front Street, Suite 3210",San Diego,San Diego,CA,92101,32.71432,-117.1647,"JP-6500.1900-700, JP-6500.1800-700","Radon Information, Radon Testing",inlandempireunitedway,,No application required
